City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kamaishi,39.2667,141.8833,4.61,64,99,2.36,JP,1675646206
83,cidreira,-30.1811,-50.2056,23.0,81,100,3.93,BR,1675646206
84,longyearbyen,78.2186,15.6401,-2.09,74,40,1.03,SJ,1675646130
85,tuktoyaktuk,69.4541,-133.0374,-38.39,100,55,2.74,CA,1675646142
86,tuatapere,-46.1333,167.6833,16.29,80,95,4.52,NZ,1675646207
87,svetlaya,46.5389,138.3297,-9.69,54,3,2.3,RU,1675646207
88,salalah,17.0151,54.0924,20.75,64,100,1.29,OM,1675645951
89,ternate,0.8,127.4,25.79,83,100,3.17,ID,1675646208
90,cherskiy,68.75,161.3,-38.98,99,98,2.15,RU,1675646151
91,gravdal,68.1214,13.5031,4.05,87,100,12.04,NO,1675646035
92,tiksi,71.6872,128.8694,-31.82,100,100,1.52,RU,1675646006
93,okato,-39.2,173.8833,20.38,69,1,4.26,NZ,1675646208
94,port blair,11.6667,92.75,26.26,77,1,2.65,IN,1675645962
95,lebu,-37.6167,-73.65,16.11,90,1,8.1,CL,1675646022
96,khatanga,71.9667,102.5,-36.84,100,48,2.94,RU,1675645961
97,kaitangata,-46.2817,169.8464,18.62,60,59,6.94,NZ,1675646198
98,igunga,-4.2833,33.8833,17.49,92,100,1.67,TZ,1675646209
99,sinnamary,5.3833,-52.95,24.42,87,88,5.48,GF,1675646210
100,yenagoa,4.9247,6.2642,25.73,88,100,2.67,NG,1675646210
101,mount isa,-20.7333,139.5,28.87,70,100,4.12,AU,1675646210
102,saint-philippe,-21.3585,55.7679,24.77,85,100,4.65,RE,1675646161
103,grindavik,63.8424,-22.4338,3.26,56,40,13.38,IS,1675646211
104,bethel,41.3712,-73.414,4.93,68,0,0.0,US,1675645939
105,hasaki,35.7333,140.8333,10.16,70,3,3.04,JP,1675645978
106,aquiraz,-3.9014,-38.3911,27.88,84,70,3.7,BR,1675646212
107,ushuaia,-54.8,-68.3,2.49,90,72,0.92,AR,1675646150
108,saint-pierre,-21.3393,55.4781,24.82,73,0,2.06,RE,1675646213
109,yola,9.2,12.4833,24.65,18,100,0.78,NG,1675646213
110,ambanja,-13.6833,48.45,23.26,93,88,1.32,MG,1675646214
111,faanui,-16.4833,-151.75,27.73,73,8,6.61,PF,1675646065
112,ouricuri,-7.8825,-40.0817,24.18,46,44,1.54,BR,1675646215
113,quechultenango,17.4167,-99.2167,20.98,71,0,1.9,MX,1675646215
114,denia,38.8408,0.1057,11.03,87,0,1.34,ES,1675646216
115,raudeberg,61.9875,5.1352,6.59,75,100,11.13,NO,1675646216
116,gorontalo,0.5412,123.0595,28.31,66,100,1.4,ID,1675646216
117,mazabuka,-15.856,27.748,17.84,98,99,0.76,ZM,1675646217
118,ostrow wielkopolski,51.655,17.8069,-2.6,83,100,1.51,PL,1675646217
119,geraldton,-28.7667,114.6,24.23,69,100,6.69,AU,1675646153
120,arman,59.7,150.1667,-22.7,78,94,3.59,RU,1675646218
121,kavaratti,10.5669,72.642,26.6,75,13,2.88,IN,1675646218
122,kruisfontein,-34.0033,24.7314,22.71,90,89,2.38,ZA,1675646219
123,east london,-33.0153,27.9116,23.36,85,82,5.82,ZA,1675646195
124,saldanha,-33.0117,17.9442,17.85,94,0,4.26,ZA,1675645954
125,fukuma,33.7667,130.4667,6.83,48,100,1.91,JP,1675646219
126,port hardy,50.6996,-127.4199,6.6,82,100,2.84,CA,1675646132
127,nouadhibou,20.931,-17.0347,15.99,55,41,7.72,MR,1675646220
128,butaritari,3.0707,172.7902,26.91,83,100,7.6,KI,1675646195
129,adrar,20.5022,-10.0711,14.24,29,100,4.47,MR,1675646031
130,thompson,55.7435,-97.8558,-14.64,96,100,2.73,CA,1675645948
131,narsaq,60.9167,-46.05,-9.88,74,74,5.77,GL,1675646201
132,georgetown,5.4112,100.3354,25.96,89,20,0.51,MY,1675645853
133,dakar,14.6937,-17.4441,19.49,70,57,8.92,SN,1675646101
134,rawson,-43.3002,-65.1023,17.37,66,100,9.46,AR,1675646221
135,urengoy,65.9667,78.3667,-27.28,100,71,0.81,RU,1675646070
136,taoudenni,22.6783,-3.9836,15.81,24,100,4.47,ML,1675646056
137,aswan,24.0934,32.907,14.61,30,0,2.06,EG,1675646222
138,bengkulu,-3.8004,102.2655,24.57,81,95,2.0,ID,1675646136
139,hervey bay,-25.2986,152.8535,27.16,77,67,8.82,AU,1675646224
140,lagoa,39.05,-27.9833,15.01,84,100,4.44,PT,1675645984
141,kachug,53.9606,105.8817,-21.16,99,99,0.96,RU,1675646226
142,dingle,10.9995,122.6711,26.6,81,74,4.29,PH,1675645958
143,doha,25.2867,51.5333,17.94,82,0,2.06,QA,1675646226
144,cayenne,4.9333,-52.3333,22.02,100,0,0.0,GF,1675646227
145,serafimovich,49.5786,42.736,-8.56,95,100,2.14,RU,1675646228
146,luganville,-15.5333,167.1667,28.98,77,100,5.99,VU,1675646228
147,saskylakh,71.9167,114.0833,-41.73,100,94,1.72,RU,1675645982
148,lloydminster,53.2835,-110.0016,-5.36,96,100,1.79,CA,1675646079
149,dalbandin,28.8947,64.4101,12.35,41,0,2.46,PK,1675646229
150,bushehr,28.9684,50.8385,14.05,67,0,3.09,IR,1675646230
151,chuy,-33.6971,-53.4616,18.95,81,0,2.26,UY,1675645856
152,nong bua,15.8646,100.5858,25.5,68,95,2.66,TH,1675646231
